DESTINATION,SOURCE
ACS5,https://www.census.gov/content/dam/Census/library/publications/2020/acs/acs_researchers_handbook_2020.pdf
ACS5,https://www2.census.gov/programs-surveys/acs/methodology/design_and_methodology/2009/acs_design_methodology_report_2009.pdf
ACS5,https://www2.census.gov/programs-surveys/acs/methodology/design_and_methodology/2014/acs_design_methodology_report_2014.pdf
ACS5,https://www2.census.gov/programs-surveys/acs/methodology/design_and_methodology/2022/acs_design_methodology_report_2022.pdf
ACS5/2009,https://api.census.gov/data/2009/acs/acs5/variables.html
ACS5/2009,https://api.census.gov/data/2009/acs/acs5/variables.json
ACS5/2009,https://www2.census.gov/programs-surveys/acs/summary_file/2009/documentation/5_year/user_tools/ACS2009_5-Year_TableShells.xls
ACS5/2010,https://api.census.gov/data/2010/acs/acs5/variables.html
ACS5/2010,https://api.census.gov/data/2010/acs/acs5/variables.json
ACS5/2010,https://www2.census.gov/programs-surveys/acs/summary_file/2010/documentation/5_year/user_tools/ACS2010_5-Year_TableShells.xls
ACS5/2011,https://api.census.gov/data/2011/acs/acs5/variables.html
ACS5/2011,https://api.census.gov/data/2011/acs/acs5/variables.json
ACS5/2011,https://www2.census.gov/programs-surveys/acs/summary_file/2011/documentation/5_year/user_tools/ACS2011_5-Year_TableShells.xls
ACS5/2012,https://api.census.gov/data/2012/acs/acs5/variables.html
ACS5/2012,https://api.census.gov/data/2012/acs/acs5/variables.json
ACS5/2012,https://www2.census.gov/programs-surveys/acs/summary_file/2012/documentation/5_year/user_tools/ACS2012_5-Year_TableShells.xls
ACS5/2013,https://api.census.gov/data/2013/acs/acs5/variables.html
ACS5/2013,https://api.census.gov/data/2013/acs/acs5/variables.json
ACS5/2013,https://www2.census.gov/programs-surveys/acs/summary_file/2013/documentation/user_tools/ACS2013_TableShells.xls
ACS5/2014,https://api.census.gov/data/2014/acs/acs5/variables.html
ACS5/2014,https://api.census.gov/data/2014/acs/acs5/variables.json
ACS5/2014,https://www2.census.gov/programs-surveys/acs/summary_file/2014/documentation/user_tools/ACS2014_Table_Shells.xlsx
ACS5/2015,https://api.census.gov/data/2015/acs/acs5/variables.html
ACS5/2015,https://api.census.gov/data/2015/acs/acs5/variables.json
